game|mechanics|theme|min_players|max_players|min_best|max_best|min_time|max_time|learning_complexity|playing_complexity|expansion|co_op|team|legacy|favorite|play_more|blurb
Black Sonata|Deduction|Shakespeare|1|1|1|1|30|30|2|2|||||||Track down the subjects of Shakespeare’s sonatas in London.
Final Girl|Strategy|Horror|1|1|1|1|30|60|3|2|Expansion||||||You’re the final girl in a horror movie and must defeat the evil monster.
Sprawlopolis|Card Game|City Building|1|4|1|2|15|15|1|1|Expansion|Co-Op|||||Arrange city cards from a tiny deck to complete planning goals.
Legacy of Dragonholt|Roleplaying|Fantasy|1|6|1|3|60|120|1|2||Co-Op||Legacy|||Read through a story full of choices to embark on quests.
Cartographers|Roll & Write|Fantasy|1|99|1|5|30|45|3|2|||||||Draw cards with fantasy features and plot them on your own map.
Railroad Ink Challenge|Roll & Write|Trains|1|8|1|8|15|30|2|2|Expansion||||||Draw routes  on your board to form a rail and road network.
Inhuman Conditions|Deception|Cyberpunk|2|2|2|2|5|10|2|3||||||Play More|An interrogation to determine if a player is a human or robot.
Long Live the Queen|Strategy|Fantasy|2|2|2|2|15|30|3|3|||||||Secretly place and reveal court members to protect the princess.
Paris: La Cité de la Lumière|Strategy|City Building|2|2|2|2|15|30|2|2|Expansion|||||Play More|Place lampposts and buildings to create the city of lights.
Chess|Strategy|Abstract|2|2|2|2|15|45|1|4|||||||It’s chess!
MtG: Dandân|Card Game|Fantasy|2|2|2|2|15|45|4|4|||||||A Magic the Gathering format all about playing Blue from the same deck.
Lawyer Up|Strategy|Law|2|2|2|2|60|90|4|4|Expansion|||||Play More|Tactically play argument cards to sway the jury in an asymmetrical trial.
Warhammer Underworlds|Strategy|Fantasy|2|4|2|2|30|60|4|3|Expansion||||||Battle your miniature warbands using cards in a tactical arena.
Skulls of Sedlec|Drafting|Graveyards|1|3|2|3|15|15|1|1||||||Play More|Arrange the skulls of the Sedlec Ossuary to meet the deceased’s last wishes.
Dominion|Deckbuilding|Fantasy|2|4|2|4|30|30|2|2|||||||Act as monarch growing your kingdom.
Sherlock Holmes Consulting Detective|Deduction|Detectives|1|8|2|4|90|120|1|4|Expansion|Co-Op||Legacy|Favorite||Solve mysteries with Sherlock Holmes.
Prêt-à-Porter|Strategy|Fashion|2|4|2|4|90|120|5|5||||||Play More|Use ruthless economic strategy to create the dominate fashion house.
Hanabi|Deduction|Fireworks|2|5|2|5|15|30|1|3||Co-Op|||||Work together to play fireworks cards—that only the other players can see!
Bananagrams|Word Game|Abstract|2|8|2|6|15|30|1|1|||||||Create your own crossword as fast as possible.
Love Letter|Deduction|Romance|2|4|3|4|15|15|2|1|||||||As a suitor, use a small deck of courtiers to get your love letter closer to the Princess.
Blokus Trigon|Strategy|Abstract|2|4|3|4|15|30|1|2|||||||Be the first to place all your complex shapes on a crowded board.
Fire Tower|Strategy|Forest Fire|2|5|3|4|30|45|2|2|Expansion||||||Fight fire, and friends, with fire using cards to place or remove flames.
Fort|Deckbuilding|Kids|2|4|3|4|30|60|4|3||||||Play More|Trade cards for the best friends, the most pizza and toys, and the coolest fort.
Pandemic Legacy|Strategy|Medicine|2|4|3|4|60|60|3|3||Co-Op||Legacy|||Travel a changing globe to stop the spread of disease.
Settlers of Catan|Strategy|City Building|3|4|3|4|60|90|3|3|||||||Use randomly distributed resources to build on a small island.
Undergrove|Strategy|Mushrooms|2|4|3|4|60|90|4|3|Expansion|||||Play More|Play a grove of trees using symbiotic mushrooms to grow.
Root|Strategy|Woodland Colonialism|2|4|3|4|90|120|5|4|Expansion||||||Each forest faction plays a different asymmetrical game.
Timeline: Diversity|Trivia|History|2|8|3|5|15|15|1|1|||||||Correctly place your historical events on a growing timeline.
Oath|Strategy|Fantasy|1|6|3|5|45|120|5|4||||Legacy|Favorite|Play More|Shape a land of empire and exile with favors, secrets, and the land’s many denizens.
Hey Yo|Card Game|Music|2|10|3|6|15|15|1|1||Co-Op|Team|||Play More|Play cards in time with a funky beat to create a solid hip hop song.
Bargain Quest|Drafting|Fantasy|2|6|3|6|30|60|3|3|||||Favorite||Set up your fantasy shop to make the most profit while ‘helping’ defend the town.
Witness|Deduction|Detectives|4|4|4|4|15|30|1|3||Co-Op|||Favorite|Play More|Each detective receives limited clues and must quietly pass them to their partners.
Mahjong|Card Game|Abstract|4|4|4|4|30|90|5|4|||||||James only knows riichi.
MtG: Commander|Card Game|Fantasy|3|5|4|4|60|120|5|5|Expansion||||Favorite||A multiplayer Magic the Gathering format using decks with legendary leaders.
TIME Stories Revolution|Strategy|Cyberpunk|1|4|4|4|120|180|4|4|Expansion|Co-Op||Legacy||Play More|Time travel to protect the space-time continuum.
In a Grove|Deduction|Detectives|2|5|4|5|15|15|1|2||||||Play More|In a town with too many detectives, be sure you don’t accuse the wrong suspect.
String Railway|Strategy|Trains|2|5|4|5|30|45|2|2|||||||Carefully lay your string railway tracks to build a network to touch key stations.
Machi Koro|Deckbuilding|City Building|2|5|4|5|30|45|2|3|||||||Build your city to maximize collection or randomly rolled resources.
Tokaido|Strategy|Vacation|2|5|4|5|45|60|3|1|||||||Stop at tourist spots along the road to Edo to have the best Japanese vacation!
Ticket to Ride|Strategy|Trains|2|5|4|5|45|60|3|3|Expansion||||Favorite||Gather train cards of the right color to claim routes around the US.
Authors|Card Game|Books|2|6|4|6|15|15|1|1|||||||Play Go-Fish to collect complete collections of famous authors’ works.
Insider Black|Deception|20 Questions|4|8|4|6|15|15|1|1||||||Play More|Ask yes-or-no questions to find a secret, but don’t be misled by the Insider.
MooT|Trivia|Words|2|12|4|6|30|45|1|3|||Team||Favorite||Answer devious questions about semantics, etymology, and grammar.
Flamme Rouge|Strategy|Tour de France|1|12|4|6|30|60|2|3|Expansion||Team||Favorite||Time your cycling team’s effort to always be in second till the very end.
Betrayal at House on the Hill|Adventure|Haunted House|3|6|4|6|60|60|3|3||Co-Op|||||Explore a spooky house… until friends turns against you!
Drawing from Memory|Party|Art|3|99|4|10|15|15|1|1|||||||Do your best to draw an object purely from memory.
Mind the Gap|Trivia|History|2|99|4|12|30|60|1|1|||Team||||Answer generation based trivia questions about pop culture.
Wavelength|Party|Abstract|4|12|4|12|30|30|1|1|||Team||Favorite|Play More|Read each other’s minds to hit the bullseye between binaries.
The King's Dilemma|Roleplaying|Fantasy|3|5|5|5|60|120|2|4||||Legacy|Favorite||Politic and vote to balance the needs of the kingdom and your desires.
Spyfall|Deception|Secret Agents|3|8|5|8|15|30|1|1|||||||Everyone knows where you’re working except one spy trying to blend in.
A Fake Artist Goes to New York|Deception|Art|5|10|5|8|15|30|1|2|||||Favorite||Artists add to a collective drawing, but the fake doesn’t know what it is!
One Night Revolution|Deception|Cyberpunk|3|10|5|8|15|30|2|2|||Team||||Work out what happened when everyone’s eyes were closed.
Codenames|Deduction|Secret Agents|4|10|6|10|15|30|1|1|||Team||||Communicate secret messages with a single clue that applies to many words.
Codenames Pictures|Deduction|Secret Agents|4|10|6|10|15|30|1|1|||Team||||Codenames, but with pictures instead of words.
Monikers|Party|Abstract|4|16|6|12|30|60|1|1|||Team||Favorite||Describe famous people using an increasingly limited set of tools.
Secret Hitler|Deception|Politics|5|10|8|10|45|60|1|1|||Team||||Pass liberal or fascist laws, without knowing who’s on your side.
Two Rooms and a Boom|Deception|Secret Agents|6|32|8|16|15|30|2|2|Expansion||Team||Favorite|Play More|Swap hostages between two rooms to save or kill the president.
Jet Lag: Hide+Seek|Travel|Abstract|2|6|3|6|240|7200|2|4|||Team|||Play More|A real-world game played on public transit.
Daybreak|Strategy|Climate Change|1|4|2|4|60|120|3|4||Co-Op||||Play More|Work together to solve climate change.
Sushi Go Party!|Drafting|Sushi|2|8|4|6|15|30|2|2|Expansion||||||Grab conveyor-belt sushi to make delicious combos!
Hot Streak|Gambling|Mascot Races|2|99|3|8|15|30|1|2||||||Play More|Bet on a wild and wacky mascot race!
Arkham Noir|Deduction|Detectives|1|1|1|1|30|30|2|3|||||||Solve mysteries inspired by Lovecraftian horror.
Decodables|Party|Words|3|8|3|5|15|30|1|1|||||||Solve visual word puns.
Sagrada|Dice Drafting|Stained Glass|1|6|2|6|30|45|2|2|Expansion||||||Draft dice to build beautiful stained glass windows.
Molly House|Card Game|Queer Joy|1|5|3|5|60|180|4|4||Co-Op||||Play More|